"","STOPPED","IDENTIFIED","ILLEGAL","ILL_EXP_INSP","ILL_EXP_RETURN","MIXE","NEWS","GLAS","STCN","ALCN","PLBT","HOUSE","RECY","DRY","DISP","LA_W","CPI","RPI","GDP_MARKET","POP","DWEL","CTDR","WATE","WATP","Tax","Fee_Land","Incin","EA_Tot_Enforc","EA_Illegal","EA_Illegal_exp","EA_Tot_Enforc_1Q","EA_Illegal_1Q","EA_Illegal_exp_1Q","EA_Tot_2Q"
"STOPPED",1,0.313572351141031,0.0469832073257211,-0.435589349405066,-0.229418382083458,-0.175277671393432,-0.13132099897565,0.265170447793964,0.176325448829809,-0.0579109572128375,-0.430635608009036,-0.173426148096684,-0.0451595791652286,0.362717612823923,-0.130326904027531,-0.185301728050642,0.258345671344231,0.173898119592536,0.24044844457879,0.297276919599598,0.309589126071162,0,0.049974266268992,0.161993017364313,0.556332707026703,0.0368894960496594,-0.0776724420086171,0.581543254642857,0.545883521894405,0.375496111477767,0.487741117465212,0.477160901505094,0.318859646985969,0.622702769824193
"IDENTIFIED",0.313572351141031,1,0.032392898258415,0.665582744868937,0.155079745304337,0.263568802260486,0.310369650145238,-0.327228297956585,0.303696983216995,0.270959280248229,0.147348386430315,0.128954843090017,0.142102827890838,-0.112661142331942,0.0256241714252805,0.112041045507194,0.571371861756632,0.527398823034912,0.510630453800198,0.640686697406558,0.64813298714488,0.377546540550379,0.0994036698111314,0.0427542681224499,0.292650828427812,-0.157949151686731,-0.277855331412479,0.05951706727698,-0.0657391981987675,-0.173283515807551,0.0822663682412202,0.107249451588872,-0.175393685836894,0.0249073475921542
"ILLEGAL",0.0469832073257211,0.032392898258415,1,1,0.280075331473178,-0.369387432452688,-0.303558519537474,0.299033342276076,-0.0634521931989912,-0.157539465811826,-0.473757860859016,0.160012320251907,0.353259352185453,0.456501568363358,-0.674275855250472,0.141349400015013,0.711090571592553,0.733356801872487,0.801518931429897,0.735971070019265,0.727062018030495,-0.814613752280214,0.619322257158787,0.0096851233956105,0.643972914717218,-0.060709682122001,0.703492236305179,-0.23561942634932,-0.0280880938820277,0.196356510250926,-0.166708281961736,-0.0899509526699214,0.437678908947763,-0.126749933845791
"ILL_EXP_INSP",-0.435589349405066,0.665582744868937,1,1,0.280075331473178,-0.308820471890923,0.0796956763640911,-0.525346080876448,-0.0792148106153998,-0.234233111678217,0.798557127668613,0.314442617194392,0.438815834446948,-0.962748118851893,-0.457973437305296,0.311882940037849,0.720067965587591,0.317460889702091,0.651476771146607,0,0,0,0.174384881067216,-0.0955925857487788,0,0.121639028122887,0.101400221391148,-0.282297638768075,-0.177945359098135,-0.335703467432571,-0.264562249248728,-0.230058427516137,-0.303446861825515,-0.285477960642998
"ILL_EXP_RETURN",-0.229418382083458,0.155079745304337,0.280075331473178,0.280075331473178,1,0.59157046864663,0.747700505781571,0.0695016958942471,0.709266055036552,-0.837794483817137,-0.0444515572626775,0.396553352803876,0.395542544998646,-0.678721289284597,-0.356555413864026,0.397719234561262,0.313505715114841,-0.514202100324863,-0.528692015895377,0,0,0,-0.3796344789165,-0.359231739712882,0,-0.695777831391678,-0.748242742519049,0.338956777392952,-0.0186498891648804,-0.158882833635119,0.438396166277744,0.232219593583201,0.175190269509647,0.658983663743778
"MIXE",-0.175277671393432,0.263568802260486,-0.369387432452688,-0.308820471890923,0.59157046864663,1,0.944094011307693,-0.449361270370155,0.81462165869713,0.893328056994594,0.78911306538059,0.0243806257544323,-0.116224606552847,-0.391545646801546,0.449625497852781,0.0474969910869534,0.155776334415547,0.154870451096214,0.0542081821652678,0.143635269004288,0.13116865219374,1,0.185462226021075,0.292331346026134,0.111318580838951,0.234828164529865,0.22113954132856,-0.140574128919621,-0.149382723441878,-0.601363131734678,-0.331654581893498,-0.326693949946215,-0.471205032034682,-0.242947718146299
"NEWS",-0.13132099897565,0.310369650145238,-0.303558519537474,0.0796956763640911,0.747700505781571,0.944094011307693,1,-0.338697448273014,0.814610134737304,0.893216250081062,0.732480497693585,0.155088043717878,-0.0107606186847814,-0.499918320071399,0.432728383270176,0.176251317775537,0.179053000891934,0.174647570978072,0.0707164580539009,0.192085801702822,0.180808321040981,1,0.189868971858713,0.400845436213689,0.137165381975201,0.115383400591392,0.159406397932968,-0.0273599937164664,-0.0405867080589232,-0.694115822099984,-0.27547979209727,-0.301795079763526,-0.60116157485168,-0.15323844819944
"GLAS",0.265170447793964,-0.327228297956585,0.299033342276076,-0.525346080876448,0.0695016958942471,-0.449361270370155,-0.338697448273014,1,-0.25447416658712,-0.364446734931019,-0.479209974863723,-0.0549899459802483,-0.102628483124782,0.120488193558018,-0.0538196806726827,-0.0244947918436075,-0.0176197118797546,-0.0191112876003632,0.0452938031332363,-0.0324774991425121,-0.0298281732144035,1,-0.0297360262756605,0.0864719851680178,0.0608722845929191,-0.230249297423077,-0.148021611608915,0.468306198819176,0.411796481453755,0.550107971915284,0.658337961556217,0.63553537183711,0.575627051514818,0.413729287932944
"STCN",0.176325448829809,0.303696983216995,-0.0634521931989912,-0.0792148106153998,0.709266055036552,0.81462165869713,0.814610134737304,-0.25447416658712,1,0.867932144139759,0.330733943373195,-0.152788573793887,-0.0721683736624414,0.164376500108481,0.132329397629187,-0.167636869413994,0.573073013266505,0.567731183718572,0.463066333603411,0.670174632603117,0.667230103102347,1,0.540505015579436,0.265264099624182,0.583575893494938,-0.0673800140054342,0.405796999626147,0.456877572365603,0.432142585589958,-0.324433957653944,0.169526895319816,0.186220364166592,-0.183986565444252,0.342158277781709
"ALCN",-0.0579109572128375,0.270959280248229,-0.157539465811826,-0.234233111678217,-0.837794483817137,0.893328056994594,0.893216250081062,-0.364446734931019,0.867932144139759,1,0.584803268575165,0.00392081437496147,-0.0375391390665485,-0.316495312866389,0.334569860018297,0.016051982625839,0.426982151389729,0.424936444613597,0.330699475369564,0.242634222430206,0.233698884244088,1,0.419025435371976,0.406103129000035,0.391983411790539,0.109213435717989,0.37893053765571,-0.141987135098312,-0.123520805680473,-0.449826194913058,-0.309385591576192,-0.311237241233764,-0.407242466167689,-0.25316298160816
